,Strategy_Combination,Stock_Selection_Method,Weight_Allocation_Method,Total_Return,CAGR_4Y,CAGR_3Y,CAGR_2Y,CAGR_1Y,Positive_Return_Count,Negative_Return_Count,Sum_Positive_Return,Sum_Negative_Return,Variance_4Y,Variance_3Y,Variance_2Y,Variance_1Y,Success_Rate,Backtest_Version,Rebalance
14,4_9,4,9,6.88,0.62,0.47,0.18,0.92,32,16,3.72,-1.36,0.0629,0.0545,0.0492,0.0379,0.67,2,1m
15,8_4,8,4,6.83,0.62,0.47,0.22,0.92,34,14,3.32,-1.08,0.0509,0.0421,0.0439,0.0316,0.71,2,1m
16,11_8,11,8,5.28,0.52,0.41,0.18,0.87,33,15,3.14,-1.16,0.0473,0.0387,0.0426,0.0334,0.69,2,1m
17,15_11,15,11,7.56,0.66,0.46,0.22,0.74,35,13,3.79,-1.34,0.0744,0.0581,0.0472,0.0408,0.73,2,1m
18,15_8,15,8,5.09,0.5,0.26,-0.04,0.51,31,17,3.52,-1.44,0.0943,0.0692,0.048,0.0339,0.65,2,1m
19,15_9,15,9,5.0,0.5,0.12,-0.08,0.41,31,17,3.83,-1.67,0.1091,0.0617,0.0519,0.0436,0.65,2,1m
20,8_1,8,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
21,2_8,2,8,3.68,0.38,0.39,0.33,0.96,11,5,2.4,-0.73,0.0451,0.0485,0.0696,0.0553,0.69,2,3m
22,8_3,8,3,3.65,0.38,0.06,0.05,1.08,28,20,3.41,-1.61,0.0878,0.049,0.0603,0.0318,0.58,2,1m
23,6_10,6,10,3.45,0.36,0.35,0.29,0.66,12,4,2.59,-0.86,0.061,0.0529,0.0779,0.12,0.75,2,3m
24,6_11,6,11,4.26,0.44,0.46,0.49,1.06,11,5,2.41,-0.59,0.044,0.0391,0.0558,0.069,0.69,2,3m
25,8_2,8,2,4.58,0.46,0.35,0.3,1.11,31,17,3.11,-1.25,0.0551,0.0513,0.0622,0.0696,0.65,2,1m
26,2_9,2,9,3.06,0.32,0.31,0.23,0.76,10,6,2.39,-0.89,0.0492,0.0565,0.0798,0.0783,0.62,2,3m
27,5_8,5,8,4.22,0.43,0.48,0.36,0.98,11,5,2.64,-0.78,0.0498,0.0484,0.0694,0.0565,0.69,2,3m
28,9_5,9,5,3.75,0.39,0.39,0.31,0.86,11,5,2.93,-1.04,0.0718,0.0667,0.0915,0.1016,0.69,2,3m
29,10_9,10,9,6.11,0.57,0.74,0.44,0.84,12,4,3.13,-0.8,0.0585,0.0579,0.0751,0.0905,0.75,2,3m
30,13_11,13,11,5.94,0.56,0.43,0.22,0.78,11,5,3.19,-0.78,0.0744,0.0802,0.1011,0.1634,0.69,2,3m
31,13_10,13,10,4.24,0.44,0.26,0.22,0.72,11,5,2.72,-0.75,0.0658,0.0606,0.0919,0.1535,0.69,2,3m
32,10_8,10,8,7.47,0.65,0.81,0.56,1.09,12,4,3.13,-0.63,0.0511,0.049,0.0655,0.0688,0.75,2,3m
33,9_4,9,4,5.05,0.5,0.5,0.45,1.1,11,5,3.01,-0.86,0.0634,0.0575,0.0758,0.0755,0.69,2,3m
34,5_9,5,9,3.47,0.37,0.42,0.27,0.82,11,5,2.74,-0.99,0.064,0.0641,0.0863,0.0854,0.69,2,3m
35,7_9,7,9,7.06,0.63,0.44,0.16,0.92,32,16,3.73,-1.33,0.069,0.056,0.0542,0.0416,0.67,2,1m
36,9_6,9,6,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,2,3m
37,2_11,2,11,4.13,0.43,0.42,0.38,1.06,11,5,2.5,-0.68,0.0489,0.0476,0.0676,0.069,0.69,2,3m
38,12_8,12,8,5.76,0.55,0.47,0.2,0.9,33,15,3.26,-1.19,0.0506,0.0465,0.0406,0.0299,0.69,2,1m
39,12_9,12,9,6.88,0.62,0.47,0.18,0.92,32,16,3.72,-1.36,0.0629,0.0545,0.0492,0.0379,0.67,2,1m
40,2_10,2,10,3.19,0.34,0.27,0.24,0.66,12,4,2.5,-0.86,0.062,0.058,0.0843,0.12,0.75,2,3m
41,9_7,9,7,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,2,3m
42,7_8,7,8,5.28,0.52,0.41,0.18,0.87,33,15,3.14,-1.16,0.0473,0.0387,0.0426,0.0334,0.69,2,1m
43,9_3,9,3,4.94,0.49,0.42,0.35,1.41,10,6,3.58,-1.13,0.1186,0.1054,0.1413,0.1707,0.62,2,3m
44,16_9,16,9,6.21,0.58,0.23,0.02,0.36,31,17,3.7,-1.41,0.102,0.0572,0.0406,0.0412,0.65,2,1m
45,3_8,3,8,5.28,0.52,0.41,0.18,0.87,33,15,3.14,-1.16,0.0473,0.0387,0.0426,0.0334,0.69,2,1m
46,3_9,3,9,7.06,0.63,0.44,0.16,0.92,32,16,3.73,-1.33,0.069,0.056,0.0542,0.0416,0.67,2,1m
47,16_8,16,8,4.93,0.49,0.23,-0.02,0.46,32,16,3.44,-1.42,0.0906,0.0612,0.0424,0.0297,0.67,2,1m
48,9_2,9,2,5.42,0.53,0.51,0.56,1.25,11,5,3.07,-0.83,0.0655,0.057,0.0717,0.0914,0.69,2,3m
49,11_11,11,11,5.25,0.51,0.43,0.22,0.92,33,15,3.19,-1.21,0.052,0.0453,0.0564,0.0551,0.69,2,1m
50,14_8,14,8,4.07,0.42,0.29,0.08,0.62,11,5,2.88,-0.94,0.0654,0.0679,0.0932,0.1389,0.69,2,3m
51,1_9,1,9,4.36,0.44,0.44,0.26,0.81,11,5,2.78,-0.86,0.0546,0.0607,0.087,0.0856,0.69,2,3m
52,1_8,1,8,3.98,0.41,0.4,0.33,0.97,11,5,2.51,-0.74,0.0478,0.05,0.0709,0.0558,0.69,2,3m
53,9_1,9,1,4.21,0.43,0.5,0.45,0.95,11,5,2.22,-0.48,0.0313,0.0247,0.0326,0.0218,0.69,2,3m
54,14_9,14,9,3.49,0.37,0.21,0.04,0.29,11,5,2.79,-0.95,0.0678,0.0702,0.1024,0.1935,0.69,2,3m
55,11_10,11,10,4.28,0.44,0.31,0.22,1.02,31,17,3.18,-1.36,0.0524,0.0391,0.0516,0.0377,0.65,2,1m
56,5_1,5,1,4.02,0.42,0.52,0.47,1.01,12,4,2.16,-0.48,0.03,0.0248,0.0355,0.0248,0.75,2,3m
57,14_4,14,4,5.6,0.54,0.41,0.32,0.71,12,4,2.83,-0.63,0.0528,0.0545,0.0804,0.1436,0.75,2,3m
58,7_3,7,3,3.61,0.38,0.1,0.05,1.13,30,18,3.52,-1.7,0.0904,0.0484,0.0626,0.0288,0.62,2,1m
59,16_6,16,6,9.49,0.76,0.65,0.39,1.15,35,13,3.55,-0.98,0.0585,0.0418,0.0504,0.0365,0.73,2,1m
60,1_5,1,5,3.65,0.38,0.31,0.29,0.85,11,5,2.63,-0.84,0.0652,0.0665,0.0936,0.1025,0.69,2,3m
61,3_7,3,7,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
62,14_11,14,11,4.84,0.48,0.33,0.3,0.78,12,4,2.79,-0.69,0.0652,0.0619,0.0932,0.1633,0.75,2,3m
63,12_2,12,2,4.58,0.46,0.35,0.3,1.11,31,17,3.11,-1.25,0.0551,0.0513,0.0622,0.0696,0.65,2,1m
64,12_3,12,3,3.65,0.38,0.06,0.05,1.08,28,20,3.41,-1.61,0.0878,0.049,0.0603,0.0318,0.58,2,1m
65,14_10,14,10,3.64,0.38,0.28,0.26,0.69,12,4,2.46,-0.71,0.0599,0.0555,0.0842,0.1538,0.75,2,3m
66,3_6,3,6,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
67,10_1,10,1,4.21,0.43,0.5,0.45,0.95,11,5,2.22,-0.48,0.0313,0.0247,0.0326,0.0218,0.69,2,3m
68,1_4,1,4,4.87,0.49,0.45,0.42,1.08,11,5,2.75,-0.7,0.0575,0.0554,0.0782,0.0767,0.69,2,3m
69,16_7,16,7,9.49,0.76,0.65,0.39,1.15,35,13,3.55,-0.98,0.0585,0.0418,0.0504,0.0365,0.73,2,1m
70,7_2,7,2,5.11,0.5,0.35,0.29,1.11,31,17,3.26,-1.28,0.0601,0.0515,0.0637,0.0705,0.65,2,1m
71,14_5,14,5,5.12,0.5,0.33,0.29,0.57,12,4,2.81,-0.68,0.0566,0.0578,0.0863,0.1638,0.75,2,3m
72,5_2,5,2,4.89,0.49,0.53,0.56,1.22,10,6,2.74,-0.68,0.058,0.0516,0.069,0.0977,0.62,2,3m
73,14_7,14,7,8.0,0.68,0.58,0.58,1.13,11,5,3.33,-0.59,0.0847,0.0431,0.0626,0.0361,0.69,2,3m
74,16_5,16,5,7.74,0.67,0.36,0.13,0.53,33,15,3.86,-1.36,0.0857,0.046,0.037,0.0329,0.69,2,1m
75,9_11,9,11,4.93,0.49,0.47,0.39,1.17,11,5,2.97,-0.85,0.0629,0.0594,0.0848,0.0931,0.69,2,3m
76,1_6,1,6,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,2,3m
77,5_11,5,11,4.48,0.45,0.48,0.5,1.05,11,5,2.54,-0.65,0.0473,0.0436,0.0629,0.0807,0.69,2,3m
78,10_3,10,3,5.08,0.5,0.48,0.38,1.41,10,6,3.51,-1.06,0.1137,0.1017,0.1387,0.1707,0.62,2,3m
79,3_4,3,4,6.3,0.58,0.44,0.25,0.93,34,14,3.21,-1.07,0.0491,0.0391,0.0465,0.0351,0.71,2,1m
80,12_1,12,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
81,3_5,3,5,5.96,0.56,0.33,0.19,0.91,30,18,3.41,-1.25,0.0657,0.0444,0.0516,0.0385,0.62,2,1m
82,10_2,10,2,5.34,0.52,0.51,0.54,1.25,11,5,3.11,-0.87,0.068,0.0603,0.0769,0.0914,0.69,2,3m
83,5_10,5,10,4.36,0.44,0.47,0.48,1.01,11,5,2.58,-0.68,0.0508,0.0424,0.0611,0.0785,0.69,2,3m
84,1_7,1,7,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,2,3m
85,16_4,16,4,8.05,0.68,0.47,0.18,0.62,35,13,3.69,-1.22,0.0686,0.0459,0.0336,0.0247,0.73,2,1m
86,9_10,9,10,4.26,0.44,0.41,0.3,1.17,11,5,2.98,-0.96,0.0711,0.0645,0.0924,0.0931,0.69,2,3m
87,7_1,7,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
88,14_6,14,6,8.0,0.68,0.58,0.58,1.13,11,5,3.33,-0.59,0.0847,0.0431,0.0626,0.0361,0.69,2,3m
89,5_3,5,3,6.19,0.58,0.56,0.56,1.3,10,6,3.57,-0.95,0.109,0.0956,0.1237,0.1732,0.62,2,3m
90,5_7,5,7,4.27,0.44,0.54,0.43,0.9,11,5,2.3,-0.54,0.033,0.0302,0.0428,0.0327,0.69,2,3m
91,14_2,14,2,4.8,0.48,0.34,0.43,0.9,12,4,2.82,-0.73,0.0647,0.0705,0.1046,0.1786,0.75,2,3m
92,7_5,7,5,5.96,0.56,0.33,0.19,0.91,30,18,3.41,-1.25,0.0657,0.0444,0.0516,0.0385,0.62,2,1m
93,7_11,7,11,5.25,0.51,0.43,0.22,0.92,33,15,3.19,-1.21,0.052,0.0453,0.0564,0.0551,0.69,2,1m
94,1_3,1,3,5.8,0.55,0.45,0.45,1.3,10,6,3.43,-0.9,0.1064,0.1024,0.1366,0.1732,0.62,2,3m
95,10_6,10,6,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,2,3m
96,3_1,3,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
97,12_4,12,4,6.83,0.62,0.47,0.22,0.92,34,14,3.32,-1.08,0.0509,0.0421,0.0439,0.0316,0.71,2,1m
98,12_5,12,5,5.64,0.54,0.34,0.15,0.87,32,16,3.32,-1.23,0.0583,0.0417,0.0465,0.0362,0.67,2,1m
99,10_7,10,7,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,2,3m
100,1_2,1,2,4.87,0.49,0.44,0.43,1.22,10,6,2.78,-0.71,0.0605,0.0609,0.0823,0.0977,0.62,2,3m
101,7_10,7,10,4.28,0.44,0.31,0.22,1.02,31,17,3.18,-1.36,0.0524,0.0391,0.0516,0.0377,0.65,2,1m
102,16_1,16,1,6.35,0.59,0.64,0.35,0.75,35,13,2.8,-0.76,0.0318,0.0253,0.0224,0.0256,0.73,2,1m
103,7_4,7,4,6.3,0.58,0.44,0.25,0.93,34,14,3.21,-1.07,0.0491,0.0391,0.0465,0.0351,0.71,2,1m
104,14_3,14,3,4.31,0.44,0.15,0.21,0.56,10,6,3.04,-0.9,0.0887,0.0716,0.1042,0.1734,0.62,2,3m
105,5_6,5,6,4.27,0.44,0.54,0.43,0.9,11,5,2.3,-0.54,0.033,0.0302,0.0428,0.0327,0.69,2,3m
106,16_11,16,11,8.94,0.73,0.55,0.24,0.81,35,13,4.01,-1.35,0.0865,0.0751,0.0509,0.0449,0.73,2,1m
107,5_4,5,4,4.83,0.48,0.5,0.47,1.08,11,5,2.78,-0.72,0.0586,0.0528,0.0733,0.0767,0.69,2,3m
108,14_1,14,1,6.81,0.62,0.62,0.47,1.06,12,4,2.69,-0.43,0.032,0.028,0.0361,0.028,0.75,2,3m
109,7_6,7,6,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
110,16_3,16,3,10.64,0.81,0.35,0.26,0.68,30,18,4.52,-1.57,0.1309,0.0664,0.0566,0.0604,0.62,2,1m
111,9_9,9,9,6.42,0.59,0.72,0.46,0.89,12,4,3.25,-0.82,0.0647,0.0641,0.083,0.0997,0.75,2,3m
112,10_5,10,5,3.64,0.38,0.42,0.32,0.82,11,5,2.76,-0.96,0.0618,0.0594,0.0839,0.0916,0.69,2,3m
113,3_2,3,2,5.11,0.5,0.35,0.29,1.11,31,17,3.26,-1.28,0.0601,0.0515,0.0637,0.0705,0.65,2,1m
114,12_7,12,7,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
115,12_6,12,6,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
116,3_3,3,3,3.61,0.38,0.1,0.05,1.13,30,18,3.52,-1.7,0.0904,0.0484,0.0626,0.0288,0.62,2,1m
117,10_4,10,4,5.04,0.5,0.54,0.43,1.06,11,5,2.87,-0.77,0.0559,0.0522,0.0733,0.0694,0.69,2,3m
118,1_1,1,1,4.13,0.43,0.51,0.44,0.95,12,4,2.18,-0.48,0.0292,0.0246,0.0349,0.0232,0.75,2,3m
119,9_8,9,8,8.26,0.7,0.83,0.58,1.14,12,4,3.26,-0.63,0.054,0.0506,0.0689,0.0738,0.75,2,3m
120,16_2,16,2,6.27,0.58,0.35,0.18,0.87,31,17,3.73,-1.44,0.0819,0.0612,0.0534,0.0403,0.65,2,1m
121,7_7,7,7,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
122,5_5,5,5,3.7,0.39,0.39,0.35,0.85,11,5,2.76,-0.9,0.0713,0.0667,0.0875,0.1025,0.69,2,3m
123,16_10,16,10,8.93,0.73,0.52,0.19,0.62,34,14,3.9,-1.26,0.0808,0.0628,0.0339,0.0247,0.71,2,1m
124,2_4,2,4,4.36,0.44,0.42,0.39,1.04,12,4,2.61,-0.71,0.0529,0.0534,0.0768,0.0703,0.75,2,3m
125,3_10,3,10,4.28,0.44,0.31,0.22,1.02,31,17,3.18,-1.36,0.0524,0.0391,0.0516,0.0377,0.65,2,1m
126,13_1,13,1,6.81,0.62,0.62,0.47,1.06,12,4,2.69,-0.43,0.032,0.028,0.0361,0.028,0.75,2,3m
127,11_3,11,3,3.61,0.38,0.1,0.05,1.13,30,18,3.52,-1.7,0.0904,0.0484,0.0626,0.0288,0.62,2,1m
128,4_2,4,2,4.58,0.46,0.35,0.3,1.11,31,17,3.11,-1.25,0.0551,0.0513,0.0622,0.0696,0.65,2,1m
129,15_7,15,7,9.17,0.74,0.64,0.37,1.07,34,14,3.52,-0.99,0.058,0.0409,0.0485,0.0351,0.71,2,1m
130,15_6,15,6,9.17,0.74,0.64,0.37,1.07,34,14,3.52,-0.99,0.058,0.0409,0.0485,0.0351,0.71,2,1m
131,4_3,4,3,3.65,0.38,0.06,0.05,1.08,28,20,3.41,-1.61,0.0878,0.049,0.0603,0.0318,0.58,2,1m
132,6_1,6,1,4.02,0.42,0.52,0.47,1.01,12,4,2.16,-0.48,0.03,0.0248,0.0355,0.0248,0.75,2,3m
133,11_2,11,2,5.11,0.5,0.35,0.29,1.11,31,17,3.26,-1.28,0.0601,0.0515,0.0637,0.0705,0.65,2,1m
134,3_11,3,11,5.25,0.51,0.43,0.22,0.92,33,15,3.19,-1.21,0.052,0.0453,0.0564,0.0551,0.69,2,1m
135,2_5,2,5,3.26,0.34,0.3,0.28,0.81,10,6,2.42,-0.81,0.0563,0.0606,0.0865,0.0923,0.62,2,3m
136,2_7,2,7,4.78,0.48,0.56,0.46,0.84,11,5,2.29,-0.44,0.0292,0.0267,0.0375,0.0308,0.69,2,3m
137,13_2,13,2,5.95,0.56,0.39,0.4,0.9,12,4,3.06,-0.71,0.0675,0.0724,0.1076,0.1786,0.75,2,3m
138,12_10,12,10,4.56,0.46,0.36,0.16,0.99,32,16,3.19,-1.3,0.0522,0.0418,0.054,0.0389,0.67,2,1m
139,6_3,6,3,6.37,0.59,0.57,0.57,1.3,11,5,3.54,-0.9,0.1069,0.0929,0.1199,0.1732,0.69,2,3m
140,4_1,4,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
141,15_4,15,4,8.61,0.71,0.48,0.23,0.7,35,13,3.83,-1.27,0.073,0.0484,0.0424,0.0359,0.73,2,1m
142,15_5,15,5,7.87,0.68,0.33,0.13,0.59,33,15,3.95,-1.41,0.0966,0.0495,0.0451,0.0454,0.69,2,1m
143,6_2,6,2,4.8,0.48,0.52,0.51,1.11,11,5,2.74,-0.7,0.057,0.0501,0.0683,0.0927,0.69,2,3m
144,11_1,11,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,2,1m
145,12_11,12,11,5.9,0.56,0.49,0.32,0.96,33,15,3.23,-1.14,0.0482,0.0405,0.0493,0.0526,0.69,2,1m
146,13_3,13,3,7.33,0.65,0.35,0.4,0.84,12,4,3.24,-0.64,0.076,0.0552,0.0807,0.1345,0.75,2,3m
147,2_6,2,6,4.78,0.48,0.56,0.46,0.84,11,5,2.29,-0.44,0.0292,0.0267,0.0375,0.0308,0.69,2,3m
148,2_2,2,2,4.85,0.48,0.44,0.4,1.11,11,5,2.78,-0.72,0.0589,0.0587,0.0801,0.0927,0.69,2,3m
149,13_7,13,7,5.54,0.53,0.57,0.58,1.13,11,5,2.76,-0.59,0.0509,0.0431,0.0626,0.0361,0.69,2,3m
150,11_5,11,5,5.96,0.56,0.33,0.19,0.91,30,18,3.41,-1.25,0.0657,0.0444,0.0516,0.0385,0.62,2,1m
151,10_10,10,10,3.75,0.39,0.33,0.16,0.7,11,5,2.99,-1.08,0.0739,0.0646,0.0895,0.1168,0.69,2,3m
152,6_6,6,6,4.46,0.45,0.54,0.43,0.9,11,5,2.3,-0.51,0.0315,0.0302,0.0428,0.0327,0.69,2,3m
153,8_9,8,9,6.88,0.62,0.47,0.18,0.92,32,16,3.72,-1.36,0.0629,0.0545,0.0492,0.0379,0.67,2,1m
154,4_4,4,4,6.83,0.62,0.47,0.22,0.92,34,14,3.32,-1.08,0.0509,0.0421,0.0439,0.0316,0.71,2,1m
155,15_1,15,1,6.35,0.59,0.64,0.35,0.75,35,13,2.8,-0.76,0.0318,0.0253,0.0224,0.0256,0.73,2,1m
156,4_5,4,5,5.64,0.54,0.34,0.15,0.87,32,16,3.32,-1.23,0.0583,0.0417,0.0465,0.0362,0.67,2,1m
157,8_8,8,8,5.76,0.55,0.47,0.2,0.9,33,15,3.26,-1.19,0.0506,0.0465,0.0406,0.0299,0.69,2,1m
158,6_7,6,7,4.46,0.45,0.54,0.43,0.9,11,5,2.3,-0.51,0.0315,0.0302,0.0428,0.0327,0.69,2,3m
159,10_11,10,11,4.81,0.48,0.46,0.38,1.17,11,5,2.85,-0.81,0.0559,0.0498,0.0694,0.0638,0.69,2,3m
160,11_4,11,4,6.3,0.58,0.44,0.25,0.93,34,14,3.21,-1.07,0.0491,0.0391,0.0465,0.0351,0.71,2,1m
161,13_6,13,6,5.54,0.53,0.57,0.58,1.13,11,5,2.76,-0.59,0.0509,0.0431,0.0626,0.0361,0.69,2,3m
162,2_3,2,3,5.74,0.55,0.44,0.45,1.3,10,6,3.38,-0.87,0.1054,0.1009,0.1338,0.1732,0.62,2,3m
163,2_1,2,1,4.13,0.43,0.51,0.44,0.95,12,4,2.18,-0.48,0.0292,0.0246,0.0349,0.0232,0.75,2,3m
164,13_4,13,4,6.13,0.57,0.4,0.33,0.74,12,4,2.99,-0.65,0.0591,0.0576,0.0851,0.1496,0.75,2,3m
165,11_6,11,6,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
166,6_5,6,5,3.12,0.33,0.36,0.33,0.81,10,6,2.5,-0.88,0.0627,0.061,0.0814,0.0923,0.62,2,3m
167,4_7,4,7,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
168,15_2,15,2,6.19,0.58,0.34,0.23,1.22,30,18,3.82,-1.51,0.084,0.061,0.0686,0.0546,0.62,2,1m
169,1_10,1,10,3.76,0.39,0.36,0.37,1.01,11,5,2.48,-0.73,0.0541,0.051,0.0729,0.0785,0.69,2,3m
170,1_11,1,11,4.55,0.46,0.47,0.44,1.05,11,5,2.6,-0.67,0.0493,0.0482,0.0687,0.0807,0.69,2,3m
171,15_3,15,3,10.02,0.78,0.38,0.21,0.66,31,17,4.62,-1.69,0.1408,0.0733,0.0568,0.0592,0.65,2,1m
172,4_6,4,6,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
173,6_4,6,4,4.46,0.45,0.48,0.44,1.04,12,4,2.67,-0.73,0.0546,0.0513,0.0712,0.0703,0.75,2,3m
174,11_7,11,7,5.08,0.5,0.58,0.37,0.81,34,14,2.75,-0.92,0.0342,0.0288,0.0235,0.022,0.71,2,1m
175,13_5,13,5,5.81,0.55,0.34,0.33,0.7,12,4,2.97,-0.67,0.0624,0.0582,0.0868,0.1572,0.75,2,3m
0,13_8,13,8,8.28,0.7,0.51,0.33,1.18,12,4,3.05,-0.45,0.0517,0.0426,0.0573,0.0568,0.75,3,3m
1,4_10,4,10,10.75,0.81,0.67,0.46,1.2,36,12,3.44,-0.75,0.0459,0.0386,0.0415,0.0243,0.75,3,1m
2,6_9,6,9,4.93,0.49,0.56,0.66,1.65,12,4,2.32,-0.4,0.0384,0.0427,0.0626,0.0549,0.75,3,3m
3,8_6,8,6,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
4,8_10,8,10,10.75,0.81,0.67,0.46,1.2,36,12,3.44,-0.75,0.0459,0.0386,0.0415,0.0243,0.75,3,1m
5,8_11,8,11,10.38,0.79,0.7,0.52,1.11,37,11,3.44,-0.79,0.0435,0.0422,0.0556,0.0579,0.77,3,1m
6,8_7,8,7,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
7,6_8,6,8,4.9,0.49,0.52,0.67,1.73,13,3,2.28,-0.38,0.0347,0.0385,0.0558,0.0384,0.81,3,3m
8,4_11,4,11,10.38,0.79,0.7,0.52,1.11,37,11,3.44,-0.79,0.0435,0.0422,0.0556,0.0579,0.77,3,1m
9,13_9,13,9,6.9,0.62,0.34,0.31,1.3,11,5,3.06,-0.57,0.0667,0.0478,0.0693,0.057,0.69,3,3m
10,15_10,15,10,8.57,0.71,0.52,0.35,1.65,33,15,3.63,-1.12,0.0597,0.0515,0.0716,0.0423,0.69,3,1m
11,11_9,11,9,6.73,0.61,0.74,0.56,1.49,31,17,2.99,-0.83,0.0385,0.0448,0.0514,0.0364,0.65,3,1m
12,8_5,8,5,10.67,0.81,0.66,0.52,1.29,34,14,3.35,-0.68,0.0389,0.0341,0.045,0.0352,0.71,3,1m
13,4_8,4,8,8.02,0.68,0.71,0.49,1.26,34,14,3.08,-0.76,0.0398,0.0394,0.0414,0.0293,0.71,3,1m
14,4_9,4,9,11.1,0.83,0.73,0.51,1.39,33,15,3.54,-0.82,0.0575,0.0407,0.0479,0.0292,0.69,3,1m
15,8_4,8,4,11.45,0.84,0.74,0.53,1.2,37,11,3.35,-0.65,0.038,0.0388,0.0476,0.0488,0.77,3,1m
16,11_8,11,8,9.15,0.74,0.8,0.58,1.43,34,14,3.29,-0.8,0.0489,0.0469,0.0482,0.0414,0.71,3,1m
17,15_11,15,11,6.4,0.59,0.48,0.37,1.53,30,18,3.34,-1.15,0.0508,0.0441,0.066,0.0475,0.62,3,1m
18,15_8,15,8,11.62,0.85,0.6,0.39,1.24,35,13,3.82,-0.98,0.0526,0.0409,0.0454,0.0398,0.73,3,1m
19,15_9,15,9,16.63,1.02,0.62,0.42,1.33,32,16,4.37,-1.06,0.0836,0.0516,0.0524,0.0383,0.67,3,1m
20,8_1,8,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
21,2_8,2,8,4.9,0.49,0.52,0.67,1.73,13,3,2.28,-0.38,0.0347,0.0385,0.0558,0.0384,0.81,3,3m
22,8_3,8,3,9.29,0.75,0.76,0.61,1.57,34,14,3.55,-0.91,0.0517,0.0469,0.0569,0.049,0.71,3,1m
23,6_10,6,10,10.19,0.79,0.81,0.81,1.98,13,3,3.2,-0.42,0.0422,0.039,0.0551,0.0387,0.81,3,3m
24,6_11,6,11,9.92,0.77,0.8,0.8,1.95,13,3,3.15,-0.42,0.0395,0.036,0.0502,0.0296,0.81,3,3m
25,8_2,8,2,10.8,0.81,0.71,0.39,1.17,37,11,3.69,-0.93,0.0669,0.0686,0.0763,0.084,0.77,3,1m
26,2_9,2,9,4.93,0.49,0.56,0.66,1.65,12,4,2.32,-0.4,0.0384,0.0427,0.0626,0.0549,0.75,3,3m
27,5_8,5,8,5.86,0.56,0.63,0.85,1.9,13,3,2.49,-0.38,0.0368,0.0401,0.0561,0.0358,0.81,3,3m
28,9_5,9,5,10.94,0.82,0.66,0.7,1.69,13,3,3.24,-0.35,0.048,0.0416,0.0595,0.0524,0.81,3,3m
29,10_9,10,9,4.93,0.49,0.56,0.66,1.65,12,4,2.32,-0.4,0.0384,0.0427,0.0626,0.0549,0.75,3,3m
30,13_11,13,11,9.77,0.77,0.68,0.58,1.61,11,5,3.32,-0.49,0.0579,0.0517,0.068,0.0508,0.69,3,3m
